SimulationTime	VehicleID	x	y	speed	angle
1004.00	PKW4792	1477.41	652.60	0.20	276.82
1004.00	PKW5077	2805.17	2474.59	0.00	178.68
1004.00	PKW4436	1699.60	1867.85	6.97	288.41
1004.00	PKW5261	1904.04	2720.28	13.89	128.46
1004.00	PKW4904	2822.64	2542.42	13.89	358.75
1004.00	PKW5499	1089.71	1935.93	13.87	165.61
1004.00	PKW4890	1783.54	1839.49	2.60	281.03
1004.00	PKW4146	2067.88	1717.44	6.55	134.36
1004.00	PKW5229	2872.80	772.52	13.89	104.88
1004.00	PKW4710	3753.89	1941.73	13.89	93.65
1005.00	PKW5354	2504.51	593.45	0.00	295.90
1005.00	PKW4544	2932.15	2142.60	13.89	146.70
1005.00	PKW4859	1860.81	2305.08	13.89	185.20
1005.00	PKW4964	1744.85	1852.78	4.01	288.41
1005.00	PKW3876	2564.69	1254.89	0.00	353.34
1005.00	PKW4405	2844.39	2300.51	0.00	144.95
1005.00	PKW5518	2618.40	951.33	0.00	136.07
1005.00	PKW4888	2660.47	2523.42	13.89	308.66
1005.00	PKW4848	1941.56	2594.76	13.89	20.47
1005.00	LKW277	2682.84	815.21	13.89	103.80
1005.00	PKW4268	2549.78	1350.54	13.00	336.53
1005.00	PKW4717	1398.89	722.48	13.89	309.33
1005.00	PKW5223	1761.39	582.77	0.00	298.14
1005.00	PKW5076	2802.16	2466.49	0.00	178.68
1005.00	PKW5136	2762.17	2066.78	13.54	203.15
1005.00	PKW5542	2573.95	2553.47	13.89	129.77
1005.00	PKW4438	1889.71	1369.68	13.89	209.78
1005.00	PKW3886	2307.91	2679.30	9.65	269.69
1005.00	PKW5058	2235.31	2252.06	13.89	305.60
1005.00	routeFlow_bus34Ha.1	2808.71	2460.20	0.00	178.68
1005.00	PKW4732	1954.90	2611.77	12.94	21.01
1005.00	PKW5423	2838.83	2189.56	0.00	21.07
1005.00	PKW5416	1546.94	612.96	13.89	113.90
1005.00	PKW5472	2426.20	1935.34	0.00	337.02
1005.00	PKW5241	2278.17	977.01	13.89	288.14
1005.00	PKW4982	3090.74	711.31	13.89	104.88
1005.00	PKW4035	1285.15	1370.80	0.00	322.58
1005.00	PKW4877	2806.04	2437.10	0.00	178.68
1005.00	PKW4141	338.12	1055.41	13.89	267.77
1005.00	PKW4816	1537.89	1175.48	13.89	303.94
1005.00	PKW4966	1999.40	2709.09	13.89	22.58
1005.00	routeFlow_bus34Hc.1	2550.53	1272.63	12.29	173.97
1005.00	PKW5291	2858.37	2337.51	13.89	323.31
1005.00	PKW5361	2646.55	2493.51	13.89	128.32
1005.00	PKW4829	2909.79	2182.46	13.89	146.70
1005.00	PKW4213	1693.82	2903.62	13.89	308.46
1005.00	PKW4866	2061.24	1040.95	0.00	280.28
